date,html_file,title,tags
2026-07-24,series_얼굴지도_1부_마음이-얼굴에게-말을-겁니다.html,[얼굴은 마음이 그리는 지도 ①] 마음이 얼굴에게 먼저 말을 겁니다,"표정심리,인상,웃음,감정,자존감,마음챙김,심리에세이"
2026-08-06,series_얼굴지도_2부_표정이-습관이-되는-순간.html,[얼굴은 마음이 그리는 지도 ②] 표정이 습관이 되는 순간,"표정습관,무표정,기본표정,인상,얼굴근육,심리에세이,웃음"
2026-08-10,series_얼굴지도_3부_주름은-살아온-표정의-기록.html,[얼굴은 마음이 그리는 지도 ③] 주름은 당신이 살아온 표정의 기록입니다,"주름,웃음주름,인상,나이듦,표정,심리에세이,위로"
2026-08-15,series_얼굴지도_4부_얼굴부터-바꿔도-괜찮습니다.html,"[얼굴은 마음이 그리는 지도 ④] 마음이 힘든 날엔, 얼굴부터 바꿔도 괜찮습니다","표정피드백,웃음,우울,기분전환,회복,심리에세이,위로"
2026-08-18,05_거울-앞-3분-기본-얼굴-관찰일기.html,"거울 앞 3분, 나의 '기본 얼굴'을 만나는 관찰 일기","표정습관,기본얼굴,관찰일기,자기이해,인상,심리에세이,웃음"
2026-08-21,06_인상-좋다는-말의-정체.html,'인상이 좋다'는 말의 정체 — 우리는 얼굴에서 무엇을 읽나,"첫인상,인상,표정심리,관계,심리에세이,웃음"
2026-08-25,07_웃음주름을-저축하는-5분-루틴.html,오늘부터 웃음주름을 저축하는 하루 5분 루틴,"웃음주름,표정연습,습관,루틴,심리에세이,웃음"
2026-08-26,08_우울보다-무서운-무감정.html,우울보다 무서운 '무감정' — 번아웃의 진짜 얼굴,"번아웃,무감정,소진,직장인,회복,심리에세이"
2026-09-01,09_방전된-마음에-불빛-하나-켜는-법.html,방전된 마음에 처음 불빛 하나 켜는 법,"번아웃,회복,소진,작은습관,심리에세이,위로"
2026-09-04,10_이-정도로-힘들다-하면-안-돼.html,"""이 정도로 힘들다 하면 안 돼""가 나를 태웁니다","번아웃,감정표현,자기돌봄,위로,심리에세이"
2026-09-08,11_쉬어도-된다고-허락하는-연습.html,나에게 '쉬어도 된다'고 허락하는 연습,"휴식,번아웃,죄책감,자기돌봄,심리에세이"
2026-09-11,12_열심히-살수록-공허해지는-이유.html,열심히 살수록 왜 더 공허해질까 — 의미의 고갈,"번아웃,공허,의미,직장인,심리에세이"
2026-09-15,13_작은-성취를-눈에-보이게-완료-목록.html,작은 성취를 눈에 보이게 만드는 '완료 목록',"번아웃,자존감,완료목록,직장인,심리에세이"
2026-09-18,14_주말에-쉬어도-안-풀리는-피로.html,주말에 쉬어도 안 풀리는 피로의 정체,"피로,번아웃,휴식,직장인,심리에세이"
